,MEDIAN INCOME,TOTAL POP FOR POV RATES,TOTAL POP INCOME BELOW POV RATE,WHITE POP INCOME BELOW POV RATE,BLACK POP INCOME BELOW POV RATE,POP BELOW .50 INCOME POV RATIO,POP .50-.99 INCOME POV RATIO,POP 1.00-1.24 INCOME POV RATIO,NAME,STATE,COUNTY,GEO_TRACT
158,59575,2663,248,142,0,98,150,50,"Census Tract 209, Milwaukee County, Wisconsin",55,079,020900
159,35110,2656,562,374,110,307,255,226,"Census Tract 110, Milwaukee County, Wisconsin",55,079,011000
160,43281,5280,1201,129,795,422,779,207,"Census Tract 33, Milwaukee County, Wisconsin",55,079,003300
161,50391,3535,751,36,583,390,361,76,"Census Tract 35, Milwaukee County, Wisconsin",55,079,003500
162,33714,2084,674,23,643,311,363,322,"Census Tract 36, Milwaukee County, Wisconsin",55,079,003600
163,32750,2272,474,52,416,247,227,85,"Census Tract 38, Milwaukee County, Wisconsin",55,079,003800
164,83269,3421,143,38,69,22,121,182,"Census Tract 55, Milwaukee County, Wisconsin",55,079,005500
165,22714,2095,719,64,655,249,470,150,"Census Tract 66, Milwaukee County, Wisconsin",55,079,006600
166,24266,3043,1195,190,857,491,704,532,"Census Tract 70, Milwaukee County, Wisconsin",55,079,007000
167,48600,1998,475,319,81,238,237,118,"Census Tract 71, Milwaukee County, Wisconsin",55,079,007100
168,35297,3260,1475,1066,112,772,703,154,"Census Tract 78, Milwaukee County, Wisconsin",55,079,007800
169,16629,1402,762,116,573,222,540,79,"Census Tract 137, Milwaukee County, Wisconsin",55,079,013700
170,25375,1238,477,105,327,149,328,25,"Census Tract 81, Milwaukee County, Wisconsin",55,079,008100
171,16442,1189,674,0,674,345,329,91,"Census Tract 87, Milwaukee County, Wisconsin",55,079,008700
172,73556,2514,111,100,11,41,70,89,"Census Tract 94, Milwaukee County, Wisconsin",55,079,009400
173,21622,3517,1601,649,46,578,1023,315,"Census Tract 169, Milwaukee County, Wisconsin",55,079,016900
174,38988,2943,914,484,0,354,560,209,"Census Tract 171, Milwaukee County, Wisconsin",55,079,017100
175,37500,2688,967,535,74,349,618,105,"Census Tract 186, Milwaukee County, Wisconsin",55,079,018600
176,56429,3401,467,298,52,264,203,261,"Census Tract 192, Milwaukee County, Wisconsin",55,079,019200
177,65809,2991,207,102,1,43,164,212,"Census Tract 215, Milwaukee County, Wisconsin",55,079,021500
178,41563,3982,665,477,71,145,520,434,"Census Tract 201, Milwaukee County, Wisconsin",55,079,020100
179,53804,3626,520,173,0,175,345,263,"Census Tract 202, Milwaukee County, Wisconsin",55,079,020200
180,64028,4460,565,403,13,127,438,133,"Census Tract 207, Milwaukee County, Wisconsin",55,079,020700
181,19441,1878,983,15,937,465,518,129,"Census Tract 64, Milwaukee County, Wisconsin",55,079,006400
182,23534,2823,1190,54,1029,615,575,542,"Census Tract 69, Milwaukee County, Wisconsin",55,079,006900
183,54883,3330,655,554,60,246,409,238,"Census Tract 76, Milwaukee County, Wisconsin",55,079,007600
184,23007,1155,613,3,606,170,443,99,"Census Tract 85, Milwaukee County, Wisconsin",55,079,008500
185,52743,2427,317,265,43,127,190,181,"Census Tract 126, Milwaukee County, Wisconsin",55,079,012600
186,61932,1140,92,90,2,27,65,72,"Census Tract 127, Milwaukee County, Wisconsin",55,079,012700
187,8967,2162,1694,995,415,1316,378,84,"Census Tract 147, Milwaukee County, Wisconsin",55,079,014700
188,26050,3109,1257,391,154,380,877,393,"Census Tract 157, Milwaukee County, Wisconsin",55,079,015700
189,23092,2546,902,359,156,389,513,363,"Census Tract 158, Milwaukee County, Wisconsin",55,079,015800
